,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Jose Ramirez,1080.0044391072206,1462,2.6
1,Manny Machado,976.5222583314178,1271,13.4
2,Rafael Devers,928.2868802252578,1163,22.4
3,Austin Riley,917.4734847119294,1052,22.8
4,Nolan Arenado,873.2188490377691,1177,30.2
5,Justin Turner,801.2225468352913,925,247.2
6,Alex Bregman,790.7365171820509,911,65.4
7,Yandy Diaz,752.6226809804184,798,245.2
8,Eugenio Suarez,732.1782142727075,799,148.6
9,Matt Chapman,725.5519742311678,731,153.8
10,DJ LeMahieu,720.3559053014885,906,212.4
11,Wilmer Flores,711.5637646975354,825,566.6
12,Jeimer Candelario,695.2733152316861,732,406.0
13,Eduardo Escobar,693.6949268455353,810,328.4
14,Ryan McMahon,691.1758729937064,774,216.6
15,Josh Donaldson,688.2909841764691,690,351.0
16,Kris Bryant,683.2580076788126,586,125.4
17,Luis Urias,674.9409478668042,661,264.2
18,Gio Urshela,660.4034146220556,681,374.6
19,Yoan Moncada,642.0188775542218,612,327.2
20,Patrick Wisdom,641.9063222165635,478,361.8
21,Alec Bohm,607.8762658495066,636,184.8
22,Evan Longoria,598.4333084004588,501,575.5
23,Brandon Drury,588.4922329262602,461,193.2
27,Anthony Rendon,584.6536139088214,437,222.0
28,J.D. Davis,577.6318265639211,363,416.7
32,Joey Wendle,576.2412558590588,591,385.4
33,Hunter Dozier,572.4988241365498,568,421.4
34,Ke'Bryan Hayes,570.3675936740976,543,198.8
35,Santiago Espinal,536.1730678506738,456,410.5
36,Cavan Biggio,532.1695836082241,434,454.6
37,Brian Anderson,523.8922392899226,405,483.0
38,Jose Miranda,503.17201816794505,278,151.2
39,Jonathan Villar,494.32726785096486,408,580.5
43,Aledmys Diaz,489.2912809451232,399,522.3
44,Isaac Paredes,482.79975227747485,320,347.6
45,Maikel Franco,468.58828922859664,523,
46,Mike Moustakas,463.859637226531,318,542.5
47,Abraham Toro,437.9687040468365,413,668.5
48,Nolan Gorman,428.82444831249165,151,325.0
49,Luis Guillorme,425.86372907635916,259,682.3
50,Emmanuel Rivera,422.64438316533403,235,625.0
54,Matt Duffy,397.52148400754754,250,
55,Phil Gosselin,382.5864468638016,234,
59,Adalberto Mondesi,377.2195869628813,219,235.8
60,Yu Chang,376.74275554634346,197,838.0
76,Travis Shaw,367.95365682284694,193,
77,Charlie Culberson,342.36225494087495,179,
78,Willians Astudillo,337.69775510308665,162,
79,Jack Mayfield,324.3499186129935,180,
80,Tyler Wade,318.15776423696195,196,
81,Ildemaro Vargas,308.8082297005941,175,843.5
85,Matt Reynolds,259.8378536787347,96,955.5
86,Erik Gonzalez,254.31176605546156,168,
87,Vimael Machin,249.52121614027178,120,
88,Kelvin Gutierrez,238.03580141545154,92,
