,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Aaron Judge,1292.9221038842404,1260,2.0
1,Juan Soto,1240.6840104055811,1306,7.4
5,Mookie Betts,1136.4160666414205,1201,9.8
6,Kyle Tucker,1106.2172187241847,1179,7.6
7,Bryce Harper,1059.4451809880543,1092,131.2
8,Teoscar Hernandez,999.7248298863813,956,67.2
9,Yordan Alvarez,981.7576611888053,988,9.6
10,Kyle Schwarber,968.4405683391831,919,40.4
11,Bryan Reynolds,953.9968273951615,950,83.0
12,Starling Marte,936.3455304224531,903,71.4
13,Nick Castellanos,928.4662372465284,919,132.6
14,Randy Arozarena,890.5919078386573,839,40.6
15,Alex Verdugo,888.3643168224257,933,197.0
16,George Springer,881.8083629414177,885,62.4
17,Mark Canha,880.1384992271101,817,335.0
18,Charlie Blackmon,870.9992770075066,872,290.4
19,Andrew McCutchen,859.7483236876626,852,306.2
20,Ian Happ,842.232288066431,814,157.6
21,Hunter Renfroe,840.5602784643497,844,150.0
22,Christian Yelich,826.9686536099134,771,120.2
23,Mike Yastrzemski,825.0693639992824,823,334.4
24,Brandon Nimmo,823.206514033496,808,159.0
25,Jesse Winker,823.151513727636,823,245.2
26,Adolis Garcia,808.3748181442354,754,60.4
27,Anthony Santander,801.533401439659,817,119.6
28,Randal Grichuk,783.9388757707061,772,310.6
29,Giancarlo Stanton,764.0120238179231,711,119.4
30,Mike Trout,762.5225784554464,761,19.8
31,Robbie Grossman,749.1456709082665,710,538.0
35,Tyler O'Neill,743.8813664164209,682,104.4
36,Austin Hays,732.883096840809,736,277.4
37,Trent Grisham,729.3813518141835,686,336.2
38,Jurickson Profar,719.109838047408,740,267.0
39,Tommy Pham,716.6572814499248,665,356.0
43,Joey Gallo,695.1155922771829,588,316.8
47,Adam Duvall,690.0294369466649,647,339.2
48,Joc Pederson,675.8451136455319,650,239.8
49,David Peralta,675.444825461602,697,528.3
53,Raimel Tapia,669.1715798135167,664,595.0
54,Dylan Carlson,662.2346064834062,653,313.8
55,Max Kepler,661.1822824427505,681,386.0
56,Andrew Benintendi,660.7148878626483,656,240.4
60,Luis Robert,646.4279349780549,616,46.0
61,Myles Straw,645.8256654203404,632,353.6
62,Michael Brantley,635.5371369035661,656,344.6
63,Mitch Haniger,631.3268729170686,596,152.4
64,Marcell Ozuna,629.1851764064136,608,338.2
65,Wil Myers,623.628869881907,597,299.4
66,Byron Buxton,604.6043899841487,600,89.4
67,Cody Bellinger,603.9246253014392,592,184.8
68,Jorge Soler,603.6627119478692,569,366.0
69,Avisail Garcia,600.6769857377706,538,357.5
70,Andrew Vaughn,593.6515385705372,583,146.2
71,Taylor Ward,580.981496958955,557,132.2
72,Manuel Margot,577.5472604208593,571,360.0
73,Eddie Rosario,562.7609154243588,565,415.0
74,Tyler Naquin,562.2591735077754,549,622.5
78,Austin Meadows,558.2952325665635,554,281.2
79,Eloy Jimenez,547.4967766422546,526,70.0
80,Ramon Laureano,542.4332854087567,489,266.0
81,Seth Brown,524.8210219158846,516,249.2
82,Josh Naylor,519.1688421243332,523,221.2
83,Darin Ruf,500.69284824348824,463,828.5
87,Harrison Bader,500.24449734560824,481,189.2
91,Garrett Cooper,494.02047536420247,464,461.5
92,Corey Dickerson,481.95125334060936,479,
93,Austin Slater,476.8965260259913,432,593.5
94,Ben Gamel,469.2678526475677,445,819.5
95,Harold Ramirez,469.08514655759296,450,395.5
96,Lane Thomas,457.39074408128926,447,341.2
97,Steven Kwan,453.9651837953773,425,117.6
98,Tyrone Taylor,453.61953880713696,438,409.0
99,Kole Calhoun,435.718245148958,397,876.5
100,Rafael Ortega,430.17050343865714,400,696.5
101,Aaron Hicks,425.3352869440305,394,541.7
102,Chas McCormick,425.25307271237733,384,396.0
103,Julio Rodriguez,418.14925385701656,395,5.2
104,Kevin Kiermaier,412.8118791454111,384,569.7
105,Odubel Herrera,412.4527956396002,401,
106,Yonathan Daza,401.60585037543126,368,549.0
107,Victor Robles,397.46859340680993,321,478.3
108,Connor Joe,396.34643088028247,368,545.5
109,Victor Reyes,385.15596746630297,358,815.0
110,Akil Baddoo,370.10123071449436,345,446.0
111,Yadiel Hernandez,369.17609349240365,339,815.5
112,Gavin Sheets,366.87680923374364,350,470.0
113,Kevin Pillar,365.94508257609436,339,
114,Jason Heyward,354.14285912944035,334,653.0
115,Nick Gordon,351.2810801937156,323,350.3
116,Alex Dickerson,346.969417648897,323,
117,Jake Fraley,336.12422326429794,307,343.8
118,Lars Nootbaar,327.5161462347923,312,194.0
119,Chad Pinder,326.12520643124907,305,
120,Jesus Sanchez,323.0932670114008,304,432.7
121,Bryan De La Cruz,313.8514422971075,290,283.2
122,Orlando Arcia,311.60612467556155,286,621.7
123,Brandon Marsh,309.8309889171442,259,290.8
127,Nick Senzel,304.6517769394202,270,498.0
128,Jake McCarthy,298.28189385834673,260,120.4
129,Justin Upton,298.11006414947116,269,
130,Jordan Luplow,290.44753964690597,275,
131,Leody Taveras,286.8192689459015,256,375.0
132,Lorenzo Cain,280.835001897934,246,
133,Adam Engel,276.47618865585446,250,693.5
134,Seiya Suzuki,265.6105420540806,251,119.6
135,Sam Hilliard,260.1788971871633,244,766.5
136,Brett Phillips,258.32543329398123,227,
140,Kyle Lewis,253.9080631292715,221,525.0
141,Willie Calhoun,250.95691776036062,218,730.0
145,Matt Vierling,247.0351279198042,210,586.0
146,Oscar Gonzalez,246.5611934802787,228,187.2
147,Jarred Kelenic,245.95045028789514,227,308.6
148,Edward Olivares,229.70087295089462,195,365.0
149,Jackson Frazier,227.11951861785687,208,
150,Oscar Mercado,226.1215274144396,206,
154,Alek Thomas,223.44620706304596,193,388.3
155,Christopher Morel,222.56591125099263,216,270.6
156,Guillermo Heredia,219.06301136944924,210,
157,Ehire Adrianza,215.79965113137865,186,
161,Aristides Aquino,214.1318674137361,201,880.5
162,Stephen Piscotty,210.55323433118147,185,
163,Lewis Brinson,209.31374743712945,199,980.0
164,Nomar Mazara,208.38767683821425,175,"1,005.5"
165,Rob Refsnyder,207.41676113168552,180,836.0
166,Miguel Andujar,205.68187130090263,167,563.5
170,Bradley Zimmer,204.24829879631665,151,
174,Luis Gonzalez,203.21023931553643,176,765.0
175,Sam Haggerty,202.07034390829978,179,706.0
176,Trevor Larnach,199.68245146944162,179,525.5
177,Jo Adell,196.07850419941727,172,456.7
178,Jack Suwinski,189.14955218498605,178,397.0
179,Riley Greene,188.07755714003991,168,188.4
180,Tim Locastro,187.17621995422365,139,
181,Franchy Cordero,186.70417242032934,183,883.0
182,Juan Lagares,183.87460091886018,166,
183,Steven Duggar,183.1220785478239,179,
192,Trayce Thompson,183.11682307780353,197,420.8
196,Kyle Isbel,179.53781842980922,166,650.0
197,Jose Siri,178.25754474113938,166,340.0
201,Jake Cave,175.35153735504898,159,
202,Gilberto Celestino,171.1195367815984,143,921.0
203,Jake Lamb,169.53643321603406,158,
207,Magneuris Sierra,159.68101957691005,129,
208,Billy McKinney,152.45284503322435,141,
209,Kyle Garlick,145.77674851450914,140,820.0
210,Eli White,144.60915799760716,125,
211,Jake Meyers,140.2538151225332,130,653.3
212,Jake Marisnick,135.74955598022007,136,
213,Jarren Duran,131.22964492387501,128,480.3
214,Cole Tucker,104.44342359834697,88,
215,Ryan McKenna,102.91597588123534,96,
216,Brent Rooker,102.76359431424667,99,
220,Derek Hill,95.1523788643419,87,
221,Taylor Trammell,92.74911390765827,117,765.5
222,Roman Quinn,81.2883406635922,85,
226,Cristian Pache,64.61534296567577,54,719.5
