,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Trea Turner,996.7105020710319,1294,2.2
1,Xander Bogaerts,903.8171136067308,1026,71.0
2,Bo Bichette,870.2029898293482,1079,18.2
3,Dansby Swanson,852.5267311248167,985,75.0
4,Corey Seager,849.4128616516937,991,51.8
5,Carlos Correa,839.741348484304,955,103.6
6,Francisco Lindor,813.2965921686095,984,31.2
7,Willy Adames,805.3867477165335,858,96.0
8,Trevor Story,800.6610792370676,838,244.4
9,Jorge Polanco,796.4896826703496,874,153.4
10,Tim Anderson,745.8446224426234,731,90.6
11,Brandon Crawford,721.0945824754691,773,394.8
12,J.P. Crawford,714.7974034829424,793,333.4
13,Gleyber Torres,701.6461294165839,708,115.0
14,Amed Rosario,700.1318418773353,783,136.8
15,Javier Baez,699.0321731092647,697,191.6
16,Isiah Kiner-Falefa,693.0228772052178,745,389.2
17,Jose Iglesias,671.0926614485875,674,573.5
18,Kyle Farmer,669.9489699491169,632,366.3
19,Elvis Andrus,664.9331205797761,658,373.8
23,Andres Gimenez,658.9124975332874,516,85.8
24,Wander Franco,644.4557538932195,481,87.0
25,Miguel Rojas,637.4018669752268,669,475.5
26,Nicky Lopez,637.100961339808,579,428.0
27,Kevin Newman,569.9613645958993,493,480.0
28,Didi Gregorius,568.7841337693282,501,
29,Jorge Mateo,520.4682701253317,353,256.4
30,Paul DeJong,519.9609108848479,330,732.0
31,Luis Rengifo,518.4910880557859,393,374.2
32,Jeremy Pena,509.62406191406933,299,113.8
33,Nick Ahmed,501.6487807969213,365,600.0
34,Bryson Stott,482.54259877774086,250,274.8
35,Oneil Cruz,476.74046549073455,202,75.0
36,Edmundo Sosa,472.22950929231604,244,621.3
40,Alcides Escobar,456.77599635810384,236,
41,Taylor Walls,454.19255320284094,236,588.0
42,Sergio Alcantara,451.1245256799009,202,793.3
46,Geraldo Perdomo,422.7561178995108,207,589.0
47,Andrelton Simmons,415.25991938848415,267,
48,Diego Castillo,414.85299418750674,121,485.6
49,Niko Goodrum,412.886672711339,183,
50,Andrew Velazquez,360.4500259770791,142,865.0
51,CJ Abrams,359.9589624440542,124,254.2
55,Nick Allen,337.25039020315234,112,591.5
56,Jose Barrero,219.1675373184729,9,582.5
