,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Jacob deGrom,264.049335840672,329.1,27.2
1,Max Scherzer,137.7318103058385,303.0,39.6
2,Tyler Glasnow,126.61014447877193,131.0,86.2
3,Trevor Bauer,123.6700078641735,173.2,319.8
4,Corbin Burnes,123.46227870022307,329.0,14.8
5,Carlos Rodon,123.08105338388066,248.10000000000002,41.0
6,Gerrit Cole,108.69365889690556,291.0,17.2
7,Justin Verlander,102.73913334578236,176.0,38.2
8,Brandon Woodruff,96.57838698187669,230.10000000000002,38.6
9,Cristian Javier,90.94778143525758,132.10000000000002,66.4
10,Spencer Strider,88.7852975637876,109.1,34.8
11,Freddy Peralta,88.56581358642495,124.19999999999999,144.0
12,Julio Urias,87.34414322143056,198.20000000000005,51.0
13,Clayton Kershaw,82.24101755271562,193.10000000000002,104.2
14,Shane Bieber,80.26512812431474,237.0,49.2
15,Dinelson Lamet,69.14701029485406,58.099999999999994,640.5
16,Tony Gonsolin,64.84330768183071,151.10000000000002,131.8
17,Aaron Nola,62.06648313754886,139.0,32.8
18,Shane McClanahan,57.09706682524762,136.2,36.0
19,Max Fried,54.34677192449044,149.0,58.4
20,Zack Wheeler,52.7507352882227,179.10000000000002,53.0
21,Sandy Alcantara,46.73971776299396,134.10000000000002,23.2
22,Triston McKenzie,46.56692291249516,58.0,88.8
23,Yu Darvish,44.9730073031393,160.0,69.8
24,Walker Buehler,43.95239023912319,128.10000000000002,314.6
25,Shohei Ohtani,43.09390011943583,175.0,9.6
26,Zac Gallen,36.8707841127744,112.10000000000002,71.0
27,Alek Manoah,34.388913378948985,126.10000000000002,50.0
28,Nestor Cortes,30.672210623311287,102.0,
29,Dylan Cease,16.8850956736311,141.0,43.2
30,Luis Severino,13.298974344733551,44.0,113.0
31,Chris Bassitt,8.882276240921556,68.0,125.2
32,Edward Cabrera,7.351368612131353,-16.0,238.6
33,Kevin Gausman,1.1117957957976046,174.10000000000002,65.8
34,Framber Valdez,1.05530595480991,56.10000000000002,74.8
35,Jeffrey Springs,-1.0744023195606474,51.0,161.2
36,Joe Musgrove,-2.2713576384400085,92.0,78.4
37,Lance McCullers Jr.,-2.625416506263946,54.0,198.8
38,Drew Rasmussen,-6.1702669950121845,58.0,169.4
39,John Means,-6.359000309954922,-4.900000000000006,458.8
40,Kenta Maeda,-6.639546961671272,33.0,332.8
41,Tanner Houck,-7.502461693636917,17.099999999999994,386.2
