Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Jose Ramirez,3B,491.3264165,660,3.9,1,0.903887814,1,1,0.903887814,1,1
Shohei Ohtani,DH,535.488899,566,10.3,1,1,1,0.847154472,0.847154472,1,2
Freddie Freeman,1B,489.804999,612,12.6,1,0.900576706,1,0.92195122,0.830287792,1,3
Trea Turner,SS,465.3298702,604,2.9,1,0.847310721,1,0.908943089,0.770157224,1,4
Aaron Judge,OF,414.2785977,628,3.1,1,0.736206247,1,0.94796748,0.69789958,6,5
Marcus Semien,2B,393.3769233,574,34.6,1,0.690717282,1,0.860162602,0.594129174,1,6
Manny Machado,3B,450.2599872,594,15.7,0.88641345,0.814513665,0.891447368,0.892682927,0.57454976,2,7
Paul Goldschmidt,1B,450.861957,566,21.4,0.874051644,0.815823751,0.917562724,0.847154472,0.554283318,2,8
Pete Alonso,1B,431.1941005,569,20.3,0.810442485,0.773019982,0.922939068,0.85203252,0.492654122,3,9
Dansby Swanson,SS,409.383934,539,75.5,0.921261093,0.725553838,0.883928571,0.803252033,0.474593055,3,10
Juan Soto,OF,410.0922597,527,8.7,0.985283375,0.727095389,0.824652778,0.783739837,0.463015568,7,11
Rafael Devers,3B,438.3973321,545,18.8,0.853602269,0.788696599,0.810855263,0.81300813,0.44381682,3,12
Bo Bichette,SS,403.5531843,548,16.3,0.816844588,0.712864195,0.9,0.817886179,0.428629065,5,13
Matt Olson,1B,409.590356,563,36.5,0.740572337,0.72600308,0.91218638,0.842276423,0.413089519,5,14
Jose Abreu,1B,426.5211777,531,79.9,0.795329465,0.762850155,0.85483871,0.790243902,0.409856328,4,15
Jose Altuve,2B,383.3342405,499,130.9,0.961731306,0.668861078,0.858223062,0.738211382,0.407540333,2,16
Salvador Perez,C,333.6,471,84.1,1,0.560622902,1,0.692682927,0.388333913,1,17
Austin Riley,3B,433.082747,513,22.8,0.83890254,0.777130302,0.758223684,0.76097561,0.376160714,4,18
Mookie Betts,OF,371.4000127,542,9.6,0.849264899,0.642888247,0.850694444,0.808130081,0.375347502,9,19
Xander Bogaerts,SS,422.8846293,460,73.2,0.936377323,0.754935821,0.742857143,0.674796748,0.354355522,2,20
Kyle Tucker,OF,362.7866631,544,7.2,0.818985585,0.624142746,0.854166667,0.811382114,0.354264989,10,21
J.T. Realmuto,C,330,449,48.1,0.986024845,0.55278811,0.947368421,0.656910569,0.339212388,2,22
Bryce Harper,OF,377.8554724,485,162.7,0.87195838,0.656937465,0.751736111,0.715447154,0.308079471,8,23
J.D. Martinez,DH,454.4569628,430,179.7,0.821771678,0.823647674,0.715481172,0.62601626,0.30316319,2,24
Willy Adames,SS,393.9442229,462,84.7,0.805137407,0.691951913,0.746428571,0.67804878,0.281964942,6,25
Nolan Arenado,3B,401.1712704,490,31.7,0.750637877,0.707680362,0.720394737,0.723577236,0.276900057,5,26
Teoscar Hernandez,OF,342.1927628,520,62.2,0.746589921,0.579323599,0.8125,0.772357724,0.2714221,15,27
Corey Seager,SS,403.8161075,433,42.8,0.866492328,0.713436403,0.694642857,0.630894309,0.270918194,4,28
Max Muncy,2B,350.0971519,464,123.6,0.835077902,0.596526167,0.792060491,0.681300813,0.268815155,3,29
Francisco Lindor,SS,375.7097578,484,31.3,0.726753237,0.652267679,0.785714286,0.713821138,0.265868502,9,30
Kyle Schwarber,OF,345.6467229,496,43.7,0.75873195,0.58684056,0.770833333,0.733333333,0.251692578,13,31
Yordan Alvarez,OF,362.1350653,467,10.3,0.816694963,0.622724653,0.720486111,0.686178862,0.251431036,11,32
Trevor Story,SS,389.0607654,450,338.3,0.758076098,0.681323893,0.725,0.658536585,0.24659504,7,33
Jake Cronenworth,2B,337.0882208,439,173.2,0.785506009,0.568214426,0.744801512,0.640650407,0.212972448,5,34
Carlos Correa,SS,386.7348326,430,101.5,0.726843322,0.676261893,0.689285714,0.62601626,0.212099972,8,35
Tommy Edman,2B,330.552241,447,87.1,0.760599974,0.553989969,0.759924386,0.653658537,0.209304963,6,36
Whit Merrifield,2B,314.996037,465,198.4,0.70132143,0.520134518,0.793950851,0.682926829,0.197788291,9,37
Javier Baez,SS,355.9073198,435,182,0.713239431,0.609171017,0.698214286,0.634146341,0.192376845,12,38
Nelson Cruz,DH,395.3608276,410,399.1,0.691790766,0.695034914,0.673640167,0.593495935,0.192232629,3,39
Bryan Reynolds,OF,349.0442465,433,75.2,0.770675583,0.594234697,0.661458333,0.630894309,0.19111233,12,40
Jorge Polanco,SS,370.2686065,417,163.3,0.723739659,0.640425932,0.666071429,0.604878049,0.186741099,10,41
Will Smith,C,284,411,75.1,0.807453416,0.452676877,0.85645933,0.595121951,0.186302423,3,42
Will Smith,C,284,411,529.4,0.807453416,0.452676877,0.85645933,0.595121951,0.186302423,4,43
Starling Marte,OF,328.1951456,455,71.5,0.697382788,0.548860149,0.699652778,0.666666667,0.178535353,17,44
Brandon Lowe,2B,340.94456,397,143,0.800200993,0.576607097,0.665406427,0.572357724,0.175725023,4,45
Nick Castellanos,OF,325.5486727,455,116.1,0.688079394,0.543100548,0.699652778,0.666666667,0.174305101,23,46
Josh Bell,1B,390.6235371,408,154.3,0.67923045,0.684725001,0.634408602,0.590243902,0.174154181,7,47
Randy Arozarena,OF,326.0349474,453,35.6,0.689788841,0.544158842,0.696180556,0.663414634,0.173359957,22,48
Rhys Hoskins,1B,376.0753426,429,,0.63217914,0.653063313,0.672043011,0.624390244,0.17324018,8,49
Eugenio Suarez,3B,353.9388435,459,164.5,0.619996657,0.60488696,0.669407895,0.673170732,0.168997245,8,50
George Springer,OF,331.9263476,423,56.9,0.710499431,0.55698048,0.644097222,0.614634146,0.156664941,16,51
C.J. Cron,1B,366.420267,422,117.6,0.600952999,0.632050671,0.659498208,0.61300813,0.153557933,9,52
Justin Turner,3B,368.9761301,416,220.9,0.661588623,0.637613075,0.598684211,0.603252033,0.152349783,6,53
Nathaniel Lowe,1B,394.2426106,378,94.4,0.690935144,0.692601304,0.580645161,0.541463415,0.150452884,6,54
Anthony Rizzo,1B,366.3924188,416,140.1,0.600862933,0.631990064,0.64874552,0.603252033,0.148613694,10,55
Ryan Mountcastle,1B,362.786086,416,125.8,0.589199446,0.62414149,0.64874552,0.603252033,0.143919138,12,56
Hunter Renfroe,OF,316.0286291,431,145,0.654612694,0.52238178,0.657986111,0.627642276,0.141221675,25,57
Adolis Garcia,OF,303.5550806,455,60.1,0.610763262,0.495235208,0.699652778,0.666666667,0.141083337,35,58
Matt Chapman,3B,353.3385802,422,137.5,0.618336376,0.603580589,0.608552632,0.61300813,0.139227312,9,59
Andrew McCutchen,OF,314.3622355,431,296.8,0.648754665,0.518755156,0.657986111,0.627642276,0.138986249,27,60
