,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Jose Ramirez,491.3264165498991,660,3.9
1,Manny Machado,450.25998715291706,594,15.7
2,Rafael Devers,438.39733210415574,545,18.8
3,Austin Riley,433.0827470307334,513,22.8
4,Nolan Arenado,401.17127040220083,490,31.7
5,Justin Turner,368.97613006776226,416,220.9
6,Alex Bregman,360.3033113139703,379,63.1
7,Eugenio Suarez,353.93884345887597,459,164.5
8,Matt Chapman,353.33858015830526,422,137.5
9,Yandy Diaz,345.31330529752813,309,233.3
10,Ryan McMahon,337.0686306630362,414,183.4
11,Jeimer Candelario,336.05170568819926,337,339.5
12,Eduardo Escobar,335.9032633781294,390,311.3
13,Kris Bryant,334.5675587434579,276,111.1
14,Josh Donaldson,334.26351417196224,340,389
15,Wilmer Flores,332.611727865488,366,338.9
16,Patrick Wisdom,329.5768024330688,313,415.3
17,DJ LeMahieu,327.9457758982229,372,249.5
18,Luis Urias,322.3165152731136,322,246.3
19,Gio Urshela,316.1273708585519,306,379.9
20,Yoan Moncada,315.1086262957714,316,259.8
21,J.D. Davis,295.87649761542934,192,406.7
25,Alec Bohm,292.8026073598218,322,177
26,Evan Longoria,291.57405171825326,253,488.4
27,Hunter Dozier,287.7376731904135,289,461.7
28,Brandon Drury,285.632514060673,233,220.2
32,Joey Wendle,281.4047675063277,273,367.6
33,Ke'Bryan Hayes,276.4727538063805,259,176.6
34,Anthony Rendon,275.4006963713367,179,215.3
35,Brian Anderson,266.326040603965,220,500.8
36,Cavan Biggio,263.69007260612324,222,690.5
37,Jonathan Villar,256.6773280572461,236,974
41,Santiago Espinal,256.4613667444611,189,463.2
42,Jose Miranda,250.5351782486271,127,169
43,Aledmys Diaz,241.97652527713484,184,477.3
44,Mike Moustakas,237.2139428398651,162,564.3
45,Maikel Franco,235.16850827275448,239,
46,Isaac Paredes,233.8233018223737,140,313.7
47,Nolan Gorman,230.87345932086433,94,415
48,Abraham Toro,218.0973201729979,217,770.2
49,Emmanuel Rivera,217.90407937616246,120,803.3
53,Adalberto Mondesi,217.77455647868842,153,244.8
54,Yu Chang,200.658236001714,121,
70,Luis Guillorme,199.5153614184865,89,951.5
71,Phil Gosselin,197.03887111045745,135,
75,Matt Duffy,194.7943691866294,120,
76,Travis Shaw,192.98792696339075,108,
77,Charlie Culberson,187.70595725246108,95,
78,Jack Mayfield,176.77985122134416,108,
79,Tyler Wade,168.7143633229466,128,"1,060.70"
80,Willians Astudillo,168.36883409329886,64,
81,Ildemaro Vargas,158.50354545541782,74,956.8
85,Erik Gonzalez,146.7546138892843,89,
86,Matt Reynolds,144.19217288971117,63,
87,Kelvin Gutierrez,138.10061231558103,52,
88,Vimael Machin,129.7833518404028,54,992
