,Name,Model_Projection_Fantasy_Points,Actual_Fantasy_Points,ADP
0,Freddie Freeman,1083.0948480977481,1432,11.8
1,Paul Goldschmidt,979.9264942083497,1244,21.4
2,Pete Alonso,931.0799752057064,1169,19.0
3,Jose Abreu,917.6931469678226,1135,81.6
4,Matt Olson,886.9964360719579,1172,39.4
5,Josh Bell,833.0908116744491,915,176.0
9,Nathaniel Lowe,828.234804311195,788,98.8
10,Rhys Hoskins,795.4292854286327,884,104.8
11,Anthony Rizzo,788.2231962346885,907,127.6
12,C.J. Cron,773.9467603373519,844,125.0
13,Christian Walker,769.1583039155335,844,117.2
14,Yuli Gurriel,766.9937327477633,896,401.2
15,Joey Votto,753.9560210643415,753,367.2
16,Ryan Mountcastle,751.933333277811,781,161.6
17,Carlos Santana,736.7825115982521,797,391.0
21,Brandon Belt,734.7874919574748,583,368.2
22,Eric Hosmer,732.5399151267898,673,394.8
26,Rowdy Tellez,695.6672898874083,687,162.4
27,Jared Walsh,695.0717722778259,683,335.0
28,Trey Mancini,690.9324005901583,633,278.2
32,Jesus Aguilar,680.6802937169002,709,503.0
36,Albert Pujols,663.8610092457884,578,
37,Luke Voit,657.6487692955295,579,365.5
41,Daniel Vogelbach,642.9218044312388,482,436.7
45,Miguel Cabrera,632.5632415955419,531,626.3
46,Ji-Man Choi,617.9422221402604,446,474.5
47,Vinnie Pasquantino,604.8568579208359,189,94.4
48,Pavin Smith,593.5317986674523,450,625.3
49,Colin Moran,586.0678965113894,366,842.5
50,Dominic Smith,583.5428017729222,447,560.3
51,Brad Miller,577.9181016099133,411,798.5
52,Frank Schwindel,571.475660462335,378,727.0
53,Bobby Dalbec,560.5708043225109,451,448.6
54,Miguel Sano,530.9971612776969,390,539.8
55,Matt Beaty,457.6946586621828,179,
56,Yoshi Tsutsugo,455.2455902243492,272,
57,Alex Kirilloff,453.05761608665125,197,342.0
58,Keston Hiura,450.3842861451505,254,464.3
59,Juan Yepez,448.65633781334077,150,322.3
60,Ryan O'Hearn,445.9456022490742,198,
61,Alfonso Rivas,415.7218929229397,105,
62,Spencer Torkelson,409.3196744628015,144,282.8
63,Bobby Bradley,362.7182162913454,132,
64,Mike Ford,362.2012697124789,97,
80,Lewin Diaz,328.3889778464484,111,
