,Model Name,Position,Mean Square Error,Mean Absolute Error,R2 Score
13,RandomForestRegressor,1B,156104.12010243902,156104.12010243902,-7.875672873633384
10,Lasso,1B,155520.92972653406,155520.92972653406,-7.842514190850464
14,KNeighborsRegressor,1B,144706.2107317073,144706.2107317073,-7.227617492702061
9,Ridge,1B,140482.77662842962,140482.77662842962,-6.987484051768914
15,MLPRegressor,1B,125150.17873238609,125150.17873238609,-6.115712549908883
11,BayesianRidge,1B,121686.59430150902,121686.59430150902,-5.918782178317786
8,LinearRegression,1B,120616.33852311248,120616.33852311248,-5.857930227876441
12,ElasticNet,1B,114856.6625164075,114856.6625164075,-5.53045008154794
16,LinearRegression,2B,137691.3847391422,137691.3847391422,-11.72678962951523
19,BayesianRidge,2B,134765.85377793104,134765.85377793104,-11.456383335261558
18,Lasso,2B,128486.84158660473,128486.84158660473,-10.87601538129287
21,RandomForestRegressor,2B,126914.49586808511,126914.49586808511,-10.730683752720907
17,Ridge,2B,125557.62601464687,125557.62601464687,-10.605268519138535
22,KNeighborsRegressor,2B,105433.06978723405,105433.06978723405,-8.745159450013713
23,MLPRegressor,2B,84547.59395562999,84547.59395562999,-6.81471872037242
20,ElasticNet,2B,80747.07511600004,80747.07511600004,-6.463437455777587
24,LinearRegression,3B,8480846.633087697,8480846.633087697,-519.0515423903257
29,RandomForestRegressor,3B,145239.36006818182,145239.36006818182,-7.906180772631451
25,Ridge,3B,140007.9110424233,140007.9110424233,-7.585384600682335
30,KNeighborsRegressor,3B,133146.18272727274,133146.18272727274,-7.164618544162076
26,Lasso,3B,132664.83535773173,132664.83535773173,-7.135101981395962
31,MLPRegressor,3B,120139.5967850794,120139.5967850794,-6.367045451155051
27,BayesianRidge,3B,117233.33540557772,117233.33540557772,-6.188831438051384
28,ElasticNet,3B,107980.50057158098,107980.50057158098,-5.621441030573751
3,BayesianRidge,C,63884.26585241455,63884.26585241455,-6.435107491330315
2,Lasso,C,57559.75462813591,57559.75462813591,-5.699035468662475
5,RandomForestRegressor,C,50303.03159268292,50303.03159268292,-4.854468890593761
1,Ridge,C,45793.45043154738,45793.45043154738,-4.329625719485242
7,MLPRegressor,C,26675.486543861178,26675.486543861178,-2.1046002828824406
6,KNeighborsRegressor,C,22250.264390243905,22250.264390243905,-1.5895751519500312
4,ElasticNet,C,21537.68393941435,21537.68393941435,-1.5066421765538975
0,LinearRegression,C,19002.090316865742,19002.090316865742,-1.2115396049514722
54,KNeighborsRegressor,DH,271312.16,271312.16,-16.604229497474655
55,MLPRegressor,DH,197025.0182380266,197025.0182380266,-11.784069972412407
53,RandomForestRegressor,DH,191212.63489999998,191212.63489999998,-11.406930480360453
52,ElasticNet,DH,168264.91479406384,168264.91479406384,-9.917955820364698
49,Ridge,DH,162838.0636769115,162838.0636769115,-9.565831785397094
48,LinearRegression,DH,161756.96568481342,161756.96568481342,-9.495684184338028
51,BayesianRidge,DH,161756.96568480378,161756.96568480378,-9.495684184337403
50,Lasso,DH,105855.18437069652,105855.18437069652,-5.868468258699625
40,LinearRegression,OF,116854.05351702878,116854.05351702878,-8.130255532873454
46,KNeighborsRegressor,OF,66018.33613445378,66018.33613445378,-4.158265893402295
41,Ridge,OF,64113.697614726545,64113.697614726545,-4.00944917836785
47,MLPRegressor,OF,61618.24960719554,61618.24960719554,-3.8144702513044617
44,ElasticNet,OF,57499.97515721485,57499.97515721485,-3.492693668027031
45,RandomForestRegressor,OF,54049.72986554623,54049.72986554623,-3.223112765902507
43,BayesianRidge,OF,51338.18245826161,51338.18245826161,-3.011249163632165
42,Lasso,OF,50410.107187197755,50410.107187197755,-2.93873508197629
38,KNeighborsRegressor,SS,157052.55473684208,157052.55473684208,-11.881565473588783
39,MLPRegressor,SS,147903.61228160845,147903.61228160845,-11.131162518038886
34,Lasso,SS,143762.53422650506,143762.53422650506,-10.79150826543893
37,RandomForestRegressor,SS,142930.50575,142930.50575,-10.72326468090158
33,Ridge,SS,135473.61396673587,135473.61396673587,-10.11164495974177
32,LinearRegression,SS,132546.62154817887,132546.62154817887,-9.871570899542514
35,BayesianRidge,SS,131921.74770809608,131921.74770809608,-9.820318289884257
36,ElasticNet,SS,124653.31301691383,124653.31301691383,-9.224155957333519
