,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Freddie Freeman,489.8049989735682,612,12.6
1,Paul Goldschmidt,450.8619569622533,566,21.4
2,Pete Alonso,431.1941005295903,569,20.3
3,Jose Abreu,426.52117773147614,531,79.9
4,Matt Olson,409.5903559684418,563,36.5
5,Nathaniel Lowe,394.2426106363969,378,94.4
6,Josh Bell,390.6235370836962,408,154.3
10,Rhys Hoskins,376.07534261404413,429,
11,C.J. Cron,366.4202669929551,422,117.6
12,Anthony Rizzo,366.392418805397,416,140.1
13,Christian Walker,365.4608228930205,404,112
14,Ryan Mountcastle,362.78608595293747,416,125.8
15,Joey Votto,362.21485813196693,357,313.9
16,Brandon Belt,357.034988567321,277,308.4
17,Yuli Gurriel,352.92717687736877,357,603.8
18,Eric Hosmer,347.5694839256557,297,421.3
22,Carlos Santana,341.93976306796037,359,366.8
26,Trey Mancini,336.130680174154,306,251.4
30,Jared Walsh,335.3991421877573,355,284.1
31,Rowdy Tellez,333.19513943197,325,139.2
32,Luke Voit,329.84415961556886,334,520.2
36,Jesus Aguilar,325.7014824116015,344,457.7
40,Albert Pujols,320.67514599237603,279,
41,Daniel Vogelbach,309.76061003731377,225,593
45,Miguel Cabrera,308.6060111905156,286,708
46,Ji-Man Choi,307.62847177255327,226,
47,Vinnie Pasquantino,293.8366722736058,62,91.7
48,Colin Moran,292.781964382898,190,
49,Brad Miller,291.34216323466876,242,774
50,Bobby Dalbec,288.81730538295164,286,669.8
51,Dominic Smith,288.3686938687692,221,412.3
52,Pavin Smith,287.5164916242222,209,978.3
53,Frank Schwindel,284.40084879342135,170,
54,Miguel Sano,278.10962438444903,250,858.5
55,Keston Hiura,246.07570613170978,205,751.8
56,Juan Yepez,235.85820059451777,69,370.9
57,Alex Kirilloff,233.6621437632798,104,300.3
58,Ryan O'Hearn,231.76404885311555,119,
59,Matt Beaty,230.12070563904305,106,
60,Yoshi Tsutsugo,229.6011172729165,158,
61,Alfonso Rivas,216.80313428800204,72,981
62,Spencer Torkelson,213.47592114583227,74,263.4
63,Bobby Bradley,210.02267558775748,94,
64,Mike Ford,190.60211995280736,54,
80,Lewin Diaz,180.60650429537583,71,"1,030.00"
