Name,Model_Projection_Sum_of_HR_R_RBI_SB,Position,Proj_Position_Rank
Freddie Freeman,162.4886584,1B,1
Paul Goldschmidt,152.699526,1B,2
Nathaniel Lowe,136.8387436,1B,3
Jose Abreu,136.0176349,1B,4
Matt Olson,132.1679736,1B,5
Pete Alonso,130.9587632,1B,6
Ryan Mountcastle,126.0795229,1B,7
C.J. Cron,125.2894855,1B,8
Jared Walsh,124.962721,1B,9
Christian Walker,123.5105502,1B,10
Anthony Rizzo,123.1302848,1B,11
Rhys Hoskins,122.5955256,1B,12
Brandon Belt,120.7759787,1B,13
Yuli Gurriel,118.8550002,1B,14
Eric Hosmer,116.8251368,1B,15
Josh Bell,115.1890322,1B,16
Bobby Dalbec,114.1934751,1B,17
Joey Votto,111.0649548,1B,18
Brad Miller,110.6338562,1B,19
Trey Mancini,109.711677,1B,20
Pavin Smith,108.4719941,1B,21
Rowdy Tellez,106.9327899,1B,22
Carlos Santana,106.5940283,1B,23
Frank Schwindel,106.4857087,1B,24
Luke Voit,104.6836605,1B,25
Keston Hiura,104.1662725,1B,26
Ji-Man Choi,102.0703882,1B,27
Jesus Aguilar,102.0263725,1B,28
Dominic Smith,99.63133372,1B,29
Miguel Cabrera,99.35424095,1B,30
Vinnie Pasquantino,97.24630072,1B,31
Alfonso Rivas,96.85687928,1B,32
Miguel Sano,96.52653811,1B,33
Colin Moran,96.34365073,1B,34
Albert Pujols,96.02557505,1B,35
Daniel Vogelbach,94.63262047,1B,36
Matt Beaty,93.12862298,1B,37
Juan Yepez,91.49523919,1B,38
Alex Kirilloff,87.67214166,1B,39
Bobby Bradley,84.82835124,1B,40
Ryan O'Hearn,84.72271337,1B,41
Yoshi Tsutsugo,83.47270503,1B,42
Spencer Torkelson,80.79777111,1B,43
Lewin Diaz,76.51583451,1B,44
Mike Ford,60.41391293,1B,45
Marcus Semien,422.9309867,2B,1
Jose Altuve,406.0112326,2B,2
Jake Cronenworth,388.9330136,2B,3
Max Muncy,375.5443874,2B,4
Tommy Edman,373.3575502,2B,5
Chris Taylor,355.0822415,2B,6
Whit Merrifield,349.5710904,2B,7
Ty France,346.2422374,2B,8
Brandon Lowe,345.6212431,2B,9
Kolten Wong,334.9656644,2B,10
Cesar Hernandez,331.8975474,2B,11
Ozzie Albies,326.6710787,2B,12
Adam Frazier,319.6890369,2B,13
Jeff McNeil,319.5846244,2B,14
Ketel Marte,315.456862,2B,15
Jean Segura,314.3738579,2B,16
Josh Rojas,303.9471659,2B,17
Jonathan India,302.6998426,2B,18
Luis Arraez,301.4396986,2B,19
Jonathan Schoop,296.4079397,2B,20
Enrique Hernandez,294.6825843,2B,21
Tony Kemp,281.2224843,2B,22
Gavin Lux,270.9291317,2B,23
Dylan Moore,265.0649906,2B,24
Josh Harrison,264.9608835,2B,25
Brendan Rodgers,261.162651,2B,26
Garrett Hampson,256.911191,2B,27
Rougned Odor,255.9782111,2B,28
Willi Castro,250.442799,2B,29
David Fletcher,244.5143732,2B,30
Nico Hoerner,244.0387793,2B,31
Donovan Solano,241.0356763,2B,32
Jon Berti,240.2963609,2B,33
Matt Carpenter,234.7879647,2B,34
Thairo Estrada,234.326651,2B,35
Ramon Urias,231.5290586,2B,36
Jace Peterson,230.2839489,2B,37
Nick Solak,230.2784296,2B,38
Hanser Alberto,213.5864051,2B,39
Leury Garcia,212.4750975,2B,40
Luis Garcia,209.158512,2B,41
Michael Chavis,207.5215995,2B,42
Harold Castro,205.7049149,2B,43
Tommy La Stella,198.8545469,2B,44
Jed Lowrie,196.7907003,2B,45
Mike Brosseau,192.8449531,2B,46
Christian Arroyo,187.2891787,2B,47
David Bote,187.2519895,2B,48
Mauricio Dubon,183.3060727,2B,49
Brendan Donovan,182.4319633,2B,50
Josh VanMeter,180.0736982,2B,51
Marwin Gonzalez,177.8829398,2B,52
Owen Miller,173.9463768,2B,53
Rodolfo Castro,168.7595944,2B,54
Zach McKinstry,162.8877938,2B,55
Nick Madrigal,154.3049986,2B,56
Andy Ibanez,152.8666968,2B,57
Wilmer Difo,145.8204155,2B,58
Danny Mendick,145.0165401,2B,59
Robinson Cano,143.8542779,2B,60
Johan Camargo,123.6134998,2B,61
Sheldon Neuse,112.261772,2B,62
Josh Smith,111.980802,2B,63
Ernie Clement,103.2983347,2B,64
Jose Ramirez,536.0099662,3B,1
Manny Machado,486.7780609,3B,2
Rafael Devers,475.6040858,3B,3
Austin Riley,466.6189968,3B,4
Nolan Arenado,431.8004736,3B,5
Justin Turner,389.7781987,3B,6
Matt Chapman,385.2680009,3B,7
Eugenio Suarez,382.2500445,3B,8
Alex Bregman,376.8242634,3B,9
Ryan McMahon,373.5905592,3B,10
Eduardo Escobar,370.3330441,3B,11
Yandy Diaz,367.9253023,3B,12
DJ LeMahieu,367.019843,3B,13
Jeimer Candelario,366.6982523,3B,14
Josh Donaldson,349.0384358,3B,15
Wilmer Flores,348.9183081,3B,16
Yoan Moncada,347.2163064,3B,17
Luis Urias,341.8420337,3B,18
Gio Urshela,333.0325883,3B,19
Kris Bryant,329.8984401,3B,20
Hunter Dozier,326.8478487,3B,21
Patrick Wisdom,323.6957232,3B,22
Alec Bohm,320.9805466,3B,23
Joey Wendle,311.8733921,3B,24
Ke'Bryan Hayes,300.0406592,3B,25
J.D. Davis,288.841831,3B,26
Evan Longoria,283.2238193,3B,27
Jonathan Villar,271.9723645,3B,28
Brian Anderson,270.0175032,3B,29
Brandon Drury,269.8931164,3B,30
Cavan Biggio,267.75009,3B,31
Anthony Rendon,259.5641006,3B,32
Santiago Espinal,258.4241603,3B,33
Maikel Franco,249.57829,3B,34
Aledmys Diaz,234.8498798,3B,35
Mike Moustakas,225.902263,3B,36
Abraham Toro,222.9636306,3B,37
Jose Miranda,221.0383348,3B,38
Isaac Paredes,214.9799234,3B,39
Adalberto Mondesi,198.8089338,3B,40
Emmanuel Rivera,194.8245549,3B,41
Nolan Gorman,189.0267502,3B,42
Luis Guillorme,188.3041034,3B,43
Phil Gosselin,184.5252628,3B,44
Matt Duffy,183.7676601,3B,45
Yu Chang,181.4228751,3B,46
Travis Shaw,172.7940133,3B,47
Charlie Culberson,167.5947968,3B,48
Tyler Wade,158.6851365,3B,49
Jack Mayfield,156.9036178,3B,50
Ildemaro Vargas,139.2221205,3B,51
Erik Gonzalez,138.9633773,3B,52
Willians Astudillo,138.6789101,3B,53
Kelvin Gutierrez,121.3078385,3B,54
Matt Reynolds,118.1380001,3B,55
Vimael Machin,114.41042,3B,56
Salvador Perez,307.6148059,C,1
J.T. Realmuto,306.4416255,C,2
Will Smith,292.8258504,C,3
Willson Contreras,285.8243939,C,4
Sean Murphy,263.1945788,C,5
Daulton Varsho,243.5018138,C,6
Christian Vazquez,238.9305177,C,7
Gary Sanchez,232.6324917,C,8
Travis d'Arnaud,221.7973947,C,9
Yasmani Grandal,221.5980698,C,10
Alejandro Kirk,207.7408042,C,11
Eric Haase,203.8226372,C,12
Jacob Stallings,199.6157022,C,13
Tyler Stephenson,196.9109693,C,14
Elias Diaz,196.8719078,C,15
William Contreras,196.4116355,C,16
Carson Kelly,192.3835306,C,17
Martin Maldonado,192.2070497,C,18
Austin Nola,191.8946196,C,19
Max Stassi,190.95256,C,20
Yan Gomes,190.6261167,C,21
