Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP_x,Scaled_WSVHLD_Rank,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP_y,Rank,Scaled_ERAWHIP_Rank,Scaled_OVR_Score,OVR_Rank
Kenley Jansen,30.37492702,102,99,1,4.113339038,3.92,99,0.781403505,0.781403505,89.07017526,1
Devin Williams,25.24243094,94,59.6,0.864060237,3.352060441,2.84,59.6,0.899999154,0.899999154,88.20296956,2
Liam Hendriks,22.54604639,104,244.4,0.792643548,3.314034013,3.35,244.4,0.905923094,0.905923094,84.92833212,3
Edwin Diaz,22.01312688,86,35.8,0.778528593,3.345380532,3.27,35.8,0.901039782,0.901039782,83.97841878,4
Hector Neris,25.28911009,72,498.3,0.865296586,4.194958296,4.97,498.3,0.768688464,0.768688464,81.69925247,5
Raisel Iglesias,21.3505098,89,78.4,0.760978456,3.638568209,3.49,78.4,0.855365593,0.855365593,80.81720247,6
Scott Barlow,23.05593652,83,151.4,0.806148545,3.948490587,3.73,151.4,0.807084391,0.807084391,80.66164682,7
Mark Melancon,24.70466778,78,468.6,0.849816993,4.343535008,4.61,468.6,0.745542467,0.745542468,79.76797301,8
Ryan Tepera,22.94797279,53,685.5,0.803289008,4.064621359,4.33,685.5,0.78899298,0.78899298,79.6140994,9
Ryan Helsley,20.00951885,56,89.4,0.725460847,3.581792746,3.96,89.4,0.864210348,0.864210348,79.48355977,10
Giovanny Gallegos,19.86474523,80,280.2,0.72162636,3.669052041,4.02,280.2,0.850616675,0.850616675,78.61215171,11
Jordan Romano,17.08838237,87,67.6,0.648091358,3.347292796,3.05,67.6,0.900741881,0.900741881,77.44166193,12
Adam Ottavino,21.43049136,71,488.8,0.763096855,4.215046769,4.7,488.8,0.765558985,0.765558985,76.432792,13
Craig Kimbrel,20.22796567,69,235.2,0.73124665,4.049086702,4.42,235.2,0.791413044,0.791413044,76.13298466,14
A.J. Minter,16.97722745,76,316,0.645147299,3.571667745,3.56,316,0.86578767,0.86578767,75.54674841,15
Emmanuel Clase,13.89059416,79,38.8,0.563394446,3.121184211,2.17,38.8,0.935966166,0.935966166,74.96803056,16
Chris Stratton,21.75951158,49,,0.771811315,4.494532294,5.3,,0.722019383,0.722019383,74.6915349,17
Brad Boxberger,18.94143997,72,490,0.697171612,4.021900292,4.31,490,0.795648274,0.795648274,74.64099428,18
Ryan Pressly,17.61279082,81,73.4,0.661980888,3.886232253,3.7,73.4,0.816783295,0.816783295,73.93820915,19
Paul Sewald,16.09787917,70,181.2,0.621856799,3.651853433,4.31,181.2,0.853295957,0.853295957,73.7576378,20
Aaron Loup,17.42428056,48,,0.656987988,4.088187087,3.57,,0.785321797,0.785321797,72.11548927,21
Matt Barnes,19.34351731,56,483.3,0.707821069,4.45964109,5.35,483.3,0.727454902,0.727454902,71.76379858,22
Kendall Graveman,17.19448841,68,250.8,0.650901692,4.100525939,3.79,250.8,0.783399591,0.783399591,71.71506419,23
James Karinchak,15.23669472,54,372,0.599047389,3.802310789,4.27,372,0.829856985,0.829856985,71.44521868,24
Collin McHugh,15.59717632,33,513.5,0.608595138,3.86461288,3.27,513.5,0.820151265,0.820151265,71.43732011,25
Clay Holmes,15.23644409,53,131.4,0.599040751,3.812081107,4.17,131.4,0.828334918,0.828334917,71.3687834,26
Yimi Garcia,16.15354046,58,693,0.623331049,3.983395879,4.38,693,0.801646677,0.801646677,71.24888629,27
Josh Hader,13.57147419,90,53.4,0.554942205,3.555401545,4.2,53.4,0.868321697,0.868321697,71.16319508,28
Dylan Floro,15.24606855,55,288.4,0.599295665,3.853328718,4.03,288.4,0.821909166,0.821909166,71.06024154,29
Jake Diekman,18.05974395,61,867.5,0.67381893,4.35295326,5.2,867.5,0.744075247,0.744075247,70.89470883,30
Daniel Bard,16.72347209,83,153.4,0.638426311,4.12879903,4.89,153.4,0.778995073,0.778995073,70.87106919,31
Jonathan Loaisiga,14.08029833,50,452.2,0.568418968,3.728258376,4.18,452.2,0.841393227,0.841393226,70.49060972,32
Ryne Stanek,14.07348966,46,687,0.568238633,3.764701321,4.04,687,0.835715969,0.835715969,70.19773008,33
Emilio Pagan,21.57159075,50,821,0.766834027,5.043412472,5.84,821,0.636512183,0.636512183,70.16731051,34
David Robertson,18.0073724,29,368.8,0.672431812,4.452899707,3.95,368.8,0.728505108,0.728505108,70.04684599,35
Anthony Bass,16.12407696,61,602.8,0.622550676,4.14288178,3.83,602.8,0.776801194,0.776801194,69.96759353,36
Chad Green,15.10754876,49,681.5,0.595626817,3.990639526,4.09,681.5,0.800518226,0.800518226,69.80725217,37
Aaron Bummer,14.26407382,46,,0.573286462,3.975291863,4.23,,0.802909159,0.802909159,68.80978108,38
Bryan Shaw,20.15459364,41,,0.729303311,4.989164456,6.24,,0.644963201,0.644963201,68.7133256,39
Wandy Peralta,15.21671221,33,628.5,0.59851813,4.1540261,4.31,628.5,0.775065079,0.775065079,68.67916043,40
Alex Lange,13.85851064,36,267,0.562544679,3.939260258,4.38,267,0.808522336,0.808522336,68.55335075,41
Erik Swanson,13.85851064,36,448.4,0.562544679,3.939260258,4.38,448.4,0.808522336,0.808522336,68.55335075,42
Lou Trivino,18.19098297,54,534.8,0.677294939,4.703025336,5.13,534.8,0.689539332,0.689539332,68.34171352,43
Aroldis Chapman,15.66690418,55,297.6,0.610441956,4.281965952,5.01,297.6,0.755133992,0.755133992,68.27879739,44
Tejay Antone,7.920998983,14,683,0.4052832,2.992692374,2.85,683,0.955983243,0.955983243,68.06332214,45
Kyle Finnegan,15.99238941,65,358.8,0.619062788,4.384555587,4.75,358.8,0.739152084,0.739152084,67.91074359,46
Garrett Whitlock,9.647267306,37,284.8,0.451005301,3.347713388,3.23,284.8,0.900676359,0.900676359,67.58408298,47
Blake Treinen,11.17135999,60,498.5,0.49137256,3.610786118,3.46,498.5,0.859693621,0.859693621,67.55330903,48
Seth Lugo,14.42865472,44,514.7,0.577645567,4.197086773,4.68,514.7,0.768356879,0.768356879,67.30012233,49
Alex Colome,19.74331437,53,625,0.718410131,5.114704291,5.57,625,0.625406,0.625406,67.19080654,50
Tyler Rogers,13.33043315,84,506.3,0.54855797,4.033418119,4.31,506.3,0.793853971,0.793853971,67.12059703,51
Keegan Thompson,9.075492138,10,479,0.435861211,3.316950009,3.05,479,0.905468826,0.905468826,67.06650187,52
Evan Phillips,8.010999294,33,231.2,0.407666956,3.158562673,3.05,231.2,0.930143169,0.930143169,66.89050624,53
Chris Martin,14.04662354,39,594,0.567527054,4.21303335,4.1,594,0.765872645,0.765872645,66.66998495,54
Jason Adam,9.847156559,36,295.8,0.456299586,3.515006519,3.28,295.8,0.874614629,0.874614629,66.54571073,55
Taylor Rogers,18.1524722,71,298.4,0.676274939,4.963265815,5.41,298.4,0.648997816,0.648997816,66.26363773,56
Gregory Soto,12.51704646,71,297.8,0.527014535,4.032517236,4.84,297.8,0.793994315,0.793994315,66.05044251,57
Jesse Chavez,15.8693629,21,,0.615804296,4.60680805,4.97,,0.704528524,0.704528524,66.01664102,58
Andrew Chafin,10.15634051,58,526,0.464488661,3.639873259,3.67,526,0.855162286,0.855162286,65.98254733,59
Diego Castillo,13.22184386,66,485.6,0.545681864,4.171081579,4.01,485.6,0.772408094,0.772408094,65.90449788,60
Tanner Scott,16.15218447,55,558.5,0.623295134,4.709771479,5.7,558.5,0.688488385,0.688488385,65.58917596,61
J.P. Feyereisen,8.906681215,34,843,0.43139007,3.481688391,3.47,843,0.879805087,0.879805087,65.55975784,62
Rafael Montero,13.83835688,66,308.2,0.562010884,4.33766937,5.27,308.2,0.746456245,0.746456245,65.42335646,63
Mychal Givens,13.47203364,47,,0.552308413,4.309287677,4.75,,0.750877682,0.750877682,65.15930475,64
Brad Hand,14.50820452,70,869.5,0.57975253,4.520429413,4.42,869.5,0.717985005,0.717985005,64.88687674,65
Alexis Diaz,7.316441171,30,156.8,0.389270826,3.33491645,2.8,156.8,0.902669927,0.902669927,64.59703766,66
Jorge Lopez,11.22993818,30,251,0.492924067,4.000596095,4.33,251,0.798967144,0.798967144,64.59456056,67
David Bednar,10.45662166,45,140.8,0.472441935,3.895306376,3.75,140.8,0.815369684,0.815369684,64.39058093,68
Genesis Cabrera,11.47929082,57,,0.499528444,4.07472121,5.07,,0.787419576,0.787419576,64.34740102,69
Craig Stammen,13.95088843,26,,0.564991405,4.498003313,4.57,,0.721478651,0.721478651,64.32350279,70
Brent Suter,13.60147829,31,906.5,0.555736896,4.463929338,4.65,906.5,0.726786859,0.726786859,64.12618774,71
Alex Lange,13.85851064,36,267,0.562544679,4.583159267,4.96,267,0.708212646,0.708212646,63.53786621,72
Erik Swanson,13.85851064,36,448.4,0.562544679,4.583159267,4.96,448.4,0.708212646,0.708212646,63.53786621,73
Jose Cisnero,8.876332619,41,,0.430586254,3.740603902,4.22,,0.839469981,0.839469981,63.50281175,74
Cole Sulser,14.19724067,34,,0.571516313,4.663869116,5.31,,0.695639276,0.695639276,63.35777948,75
Jarlin Garcia,10.08987894,32,,0.462728353,3.97900013,3.91,,0.802331468,0.802331468,63.25299104,76
Daniel Hudson,11.23229766,50,337,0.492986561,4.206521079,4.71,337,0.766887158,0.766887158,62.99368591,77
Brock Burke,6.895862469,16,474.6,0.37813134,3.539171016,3.03,474.6,0.870850167,0.870850167,62.44907532,78
Mike Mayers,13.40832076,35,,0.550620908,4.65106276,5.15,,0.697634312,0.697634312,62.41276102,79
Pete Fairbanks,8.007026007,49,193.6,0.407561719,3.735910162,4.02,193.6,0.840201195,0.840201194,62.38814568,80
Alex Vesia,7.668823222,36,542.3,0.398604049,3.689731511,4.08,542.3,0.847395127,0.847395127,62.29995882,81
Will Smith,13.51981913,68,460,0.553574064,4.69732377,5,460,0.690427549,0.690427549,62.20008066,82
Jimmy Herget,9.441831574,22,374.2,0.445564111,4.008723194,4.21,374.2,0.797701066,0.797701065,62.16325883,86
Felix Bautista,4.88140593,32,91,0.324776259,3.253651339,3.12,91,0.915329798,0.915329798,62.00530284,87
Brooks Raley,12.80598338,49,607,0.534667345,4.602630826,4.95,607,0.705179272,0.705179272,61.99233086,88
Tim Mayza,9.106942949,50,,0.43669422,3.980292593,4.32,,0.802130122,0.802130122,61.94121709,89
Alex Reyes,9.239119365,47,522,0.440195057,4.007845352,4.61,522,0.79783782,0.79783782,61.90164385,90
Yusmeiro Petit,11.83137659,41,,0.50885382,4.484415403,4.48,,0.723595441,0.723595441,61.62246303,91
Reynaldo Lopez,6.630839554,17,499.3,0.371111918,3.60478784,3.57,499.3,0.860628062,0.860628062,61.586999,92
Erasmo Ramirez,8.524607146,11,,0.421270421,3.937985705,4,,0.808720893,0.808720892,61.49956566,93
Andrew Kittredge,7.391652055,34,543.5,0.391262868,3.751731513,2.99,543.5,0.837736468,0.837736468,61.44996681,94
Nick Sandlin,6.84385335,18,,0.376753821,3.659812481,3.7,,0.852056058,0.852056058,61.44049396,95
Michael Fulmer,10.07918664,60,755.5,0.462445156,4.236216142,4.3,755.5,0.762261118,0.762261118,61.23531369,96
Michael King,7.917982955,28,457.4,0.405203317,3.883609083,3.97,457.4,0.817191945,0.817191945,61.11976307,97
Tyler Matzek,8.063058871,42,,0.409045811,3.925899727,4.14,,0.810603704,0.810603704,60.98247576,98
Jose Alvarado,12.20719009,57,448.6,0.518807651,4.634903502,5.33,448.6,0.700151679,0.700151679,60.94796651,99
Connor Brogdon,11.1676822,27,,0.491275149,4.468008999,4.6,,0.726151309,0.726151309,60.87132293,100
Carlos Estevez,14.04961304,56,315.4,0.567606234,4.977451987,5.95,315.4,0.646787826,0.646787825,60.71970299,101
Tyler Duffey,10.2384943,54,,0.466664593,4.340219932,4.71,,0.746058906,0.746058906,60.63617497,102
Corey Knebel,10.08710211,31,831.5,0.462654806,4.337494061,5.01,831.5,0.746483555,0.746483555,60.45691806,103
Jeremy Jeffress,1.629848995,15,,0.238655223,2.908686474,2.48,,0.969070087,0.969070087,60.38626552,104
Trevor Stephan,9.514621366,35,684.5,0.447492028,4.275567742,4.83,684.5,0.756130736,0.756130736,60.18113821,105
Blake Taylor,7.213549427,22,,0.386545626,3.924646514,4.45,,0.810798936,0.810798936,59.86722807,106
Caleb Thielbar,7.268008631,45,851.5,0.387988037,3.933964769,4.37,851.5,0.809347293,0.809347293,59.86676652,107
Phil Maton,14.37460824,32,,0.576214087,5.144221257,5.64,,0.620807705,0.620807705,59.85108959,108
Jeurys Familia,14.69354161,37,824,0.584661386,5.201691027,6.19,824,0.611854787,0.611854787,59.82580863,109
Alex Lange,7.249650334,27,267,0.387501798,3.939260258,4.38,267,0.808522336,0.808522336,59.8012067,110
Erik Swanson,7.249650334,27,448.4,0.387501798,3.939260258,4.38,448.4,0.808522336,0.808522336,59.8012067,111
Trevor Richards,11.54235673,25,,0.501198813,4.670924434,5.98,,0.694540165,0.694540165,59.78694892,112
Richard Bleier,9.022204585,40,,0.434449832,4.247313405,4.21,,0.760532333,0.760532333,59.74910824,113
Adam Cimber,6.308169831,45,577,0.362565658,3.794210049,3.75,577,0.831118957,0.831118957,59.68423077,114
Bryan Abreu,7.950160795,25,459.5,0.406055582,4.07476951,4.66,459.5,0.787412052,0.787412052,59.6733817,115
