,Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP
0,Kenley Jansen,24.954655833108436,102,99.0
1,Hector Neris,24.048801177238495,72,498.3
2,Mark Melancon,22.67617704606257,78,468.6
3,Chris Stratton,21.815708733833905,49,
4,Liam Hendriks,21.795926849057125,104,244.4
5,Emilio Pagan,21.74144694453885,50,821.0
6,Scott Barlow,21.320250428226842,83,151.4
7,Matt Barnes,20.435944645087915,56,483.3
8,Raisel Iglesias,20.082305816529423,89,78.4
9,Devin Williams,19.8414238212809,94,59.6
10,Craig Kimbrel,19.547273168355048,69,235.2
11,Ryan Tepera,19.520245278653967,53,685.5
12,Brad Boxberger,18.99836036930721,72,490.0
13,Edwin Diaz,18.989296526129024,86,35.8
14,Adam Ottavino,18.656080075526553,71,488.8
15,Giovanny Gallegos,18.62314367360373,80,280.2
16,Ryan Helsley,17.49703930889075,56,89.4
17,Alex Colome,17.34681106553635,53,625.0
18,Bryan Shaw,17.299838564388995,41,
19,Jake Diekman,17.102463447503794,61,867.5
20,Ryan Pressly,17.067294190355963,81,73.4
21,Taylor Rogers,16.593661452756685,71,298.4
22,Lou Trivino,16.227433837126156,54,534.8
23,Seth Lugo,15.683727722762674,44,514.7
24,A.J. Minter,15.393683578982118,76,316.0
25,Kendall Graveman,15.187412959775026,68,250.8
26,Daniel Bard,14.925826404671893,83,153.4
27,Aaron Loup,14.77481431097313,48,
28,Carlos Estevez,14.765323809510097,56,315.4
29,Kyle Finnegan,14.764358180477382,65,358.8
30,James Karinchak,14.698741755576654,54,372.0
31,Chad Green,14.691308191238624,49,681.5
32,Anthony Bass,14.51752490477376,61,602.8
33,David Robertson,14.488007640188442,29,368.8
34,Paul Sewald,14.484468315437296,70,181.2
35,Jordan Romano,14.470726480957401,87,67.6
36,Jesse Chavez,14.14881113302434,21,
37,Dylan Floro,13.955291396170367,55,288.4
38,Rafael Montero,13.892397921532849,66,308.2
41,Cole Sulser,13.875060232587535,34,
42,Brent Suter,13.817546391420093,31,906.5
43,Jeurys Familia,13.812618533144942,37,824.0
44,Wandy Peralta,13.805103221875179,33,628.5
45,Alex Lange,13.804521939452195,36,267.0
46,Erik Swanson,13.804521939452195,36,448.4
47,Brad Hand,13.784362258958273,70,869.5
48,Craig Stammen,13.588952556840956,26,
49,Yimi Garcia,13.516920290755904,58,693.0
50,Tanner Scott,13.342455953535767,55,558.5
51,Aroldis Chapman,13.00001997841526,55,297.6
52,Mychal Givens,12.857910181746336,47,
53,Jonathan Loaisiga,12.659081019047514,50,452.2
54,Hansel Robles,12.626907219542872,45,
55,Ryne Stanek,12.550614043985439,46,687.0
56,Clay Holmes,12.484354577222447,53,131.4
57,Gregory Soto,12.335413021314778,71,297.8
58,Nabil Crismatt,12.242811283880675,14,
59,Josh Hader,12.071091318199706,90,53.4
60,Phil Maton,11.859062746409451,32,
61,Genesis Cabrera,11.809333100875579,57,
62,Tyler Rogers,11.608858888370461,84,506.3
63,Mike Mayers,11.555207833787488,35,
64,Jorge Lopez,11.446560317125773,30,251.0
65,Trevor Richards,11.267379142328423,25,
66,Chris Martin,11.261408899332281,39,594.0
67,Brooks Raley,11.09076124114762,49,607.0
68,Tyler Duffey,11.05235772691937,54,
69,Collin McHugh,10.95079174476763,33,513.5
70,Corey Knebel,10.925997990248588,31,831.5
71,Yusmeiro Petit,10.812117129754382,41,
72,Jarlin Garcia,10.569986417696763,32,
73,Emmanuel Clase,10.476684589027052,79,38.8
74,Diego Castillo,10.412722228826304,66,485.6
75,Daniel Hudson,10.351357720607735,50,337.0
76,David Bednar,10.204345962084066,45,140.8
77,Aaron Bummer,10.18137976512723,46,
78,Steve Cishek,9.932011717800144,29,
79,Andrew Chafin,9.730790258680763,58,526.0
80,Jose Alvarado,9.592616617902005,57,448.6
81,Duane Underwood Jr.,9.488632671570524,18,"1,046.0"
82,Rowan Wick,9.45340650191458,33,713.0
83,Connor Brogdon,9.295783089201196,27,
84,Jimmy Herget,9.001915688122283,22,374.2
85,Michael Fulmer,8.991396320532745,60,755.5
86,Zack Littell,8.916526569050575,20,
87,Daniel Norris,8.835002511461521,17,
88,Trevor Stephan,8.67036334969718,35,684.5
89,Jose Ruiz,8.600664204098079,17,
90,Wil Crowe,8.526509157994814,26,852.0
91,Dennis Santana,8.515206392533447,32,
92,Matt Bush,8.472734287808239,25,628.5
93,Dillon Tate,8.41753150382191,38,597.7
94,Miguel Castro,8.383224711349355,34,
95,Alex Reyes,8.340645484202597,47,522.0
96,Jose Cisnero,8.326708637692363,41,
97,Noe Ramirez,8.316902506095595,27,
98,Yency Almonte,8.303060505541561,21,750.5
99,Garrett Whitlock,8.14320679686014,37,284.8
100,Jason Adam,7.991188457220153,36,295.8
101,Trevor May,7.783866172643458,47,395.2
102,Joely Rodriguez,7.628639148896196,30,
103,Ian Kennedy,7.584704351165067,55,
104,J.P. Feyereisen,7.552930852195521,34,843.0
105,Ryan Thompson,7.541007508244579,36,
106,Anthony Misiewicz,7.439063656242909,37,
107,Blake Treinen,7.428985578137556,60,498.5
108,John King,7.410512281425833,21,
109,Taylor Clarke,7.392615060864264,26,
110,Jake McGee,7.36699235958127,57,711.0
111,Tanner Rainey,7.355992254808227,38,
112,Blake Taylor,7.25427535879813,22,
113,Tim Mayza,7.225338947975466,50,
114,Griffin Jax,7.22335203007734,27,664.5
115,Joe Jimenez,7.206986977223327,38,550.3
116,Dominic Leone,7.1565420079126385,42,
117,Caleb Thielbar,7.143262848842946,45,851.5
118,Amir Garrett,7.076883440728607,35,690.5
119,Richard Bleier,7.046985244567123,40,
120,Lucas Sims,7.04003015788413,31,755.0
121,Keegan Thompson,6.932624438948105,10,479.0
122,Matt Strahm,6.918471653282148,23,824.5
123,Junior Guerra,6.747968109492822,12,
124,Joe Mantiply,6.732672495602324,37,592.5
125,Chasen Shreve,6.705002135302584,21,
126,Bryan Abreu,6.555629730890226,25,459.5
128,Erik Swanson,6.535807296187233,27,448.4
127,Alex Lange,6.535807296187233,27,267.0
129,Dany Jimenez,6.531613001599693,18,549.3
130,Erasmo Ramirez,6.371953004992089,11,
131,Jake Brentz,6.344503957343219,24,
132,A.J. Puk,6.3284357905436375,28,410.8
133,Pete Fairbanks,6.215189051970376,49,193.6
326,Alex Vesia,6.093028164768934,36,542.3
423,Michael King,6.078909810360708,28,457.4
424,Trevor Gott,6.0681404875652944,22,
425,Brock Burke,6.032550022626976,16,474.6
426,Jose Leclerc,6.023742222412009,12,208.8
523,Jhoulys Chacin,5.9410836557959,27,
524,Sergio Romo,5.889601362287686,36,
525,Alex Young,5.8344509368575,15,
526,Tejay Antone,5.815422170930815,14,683.0
719,Sam Coonrod,5.7337234735498,20,
720,Caleb Smith,5.714912015725519,10,
721,Chase De Jong,5.708317140434136,10,
722,Pierce Johnson,5.700468795700241,23,
819,Tony Watson,5.654175890266611,39,
916,Josh Staumont,5.574704887652631,46,
917,Luis Cessa,5.574138832829242,19,
918,Kyle Funkhouser,5.564414686041982,18,
919,Tim Hill,5.561241012493348,42,
920,Tyler Kinley,5.555572911575816,28,
922,Hunter Strickland,5.5553106581354434,19,
921,Tommy Hunter,5.5553106581354434,19,
1019,Lucas Luetge,5.50058812450062,20,
1212,Tyler Clippard,5.444550723422231,19,
1213,David Phelps,5.430961434257955,22,
1406,Matt Andriese,5.377672132148924,13,
1599,Joakim Soria,5.296261933755608,20,
1696,Hirokazu Sawamura,5.250745746439589,19,
1697,Dan Winkler,5.239410062199116,8,
1794,Andrew Kittredge,5.151095042356789,34,543.5
1795,Reynaldo Lopez,5.138257457197184,17,499.3
1796,Matt Wisler,5.13140196652328,27,873.5
1893,Greg Holland,5.090675678782062,30,
1894,Brett Martin,5.064261344778708,29,
2087,Jacob Barnes,5.053944752521307,10,
2088,Jeffrey Springs,5.030172944947211,19,161.2
2089,Phil Bickford,5.0152468630635685,22,
2186,Tyler Matzek,4.973231665436544,42,
2379,Jorge Alcala,4.8481150032755105,17,745.0
2572,Brad Brach,4.781563358645907,13,
2669,Jonathan Hernandez,4.739235395650148,19,551.7
2862,Adam Cimber,4.6187094221054625,45,577.0
2863,Nick Wittgren,4.602084767593384,30,
2864,Anthony Bender,4.544043089196567,28,
2865,Codi Heuer,4.541679441334656,35,
2866,Drew Smith,4.501064003202751,23,
2867,Wander Suero,4.464404348919083,16,
3060,Cy Sneed,4.363638406840958,3,
3061,Buck Farmer,4.314804388746362,19,990.0
3062,Nick Sandlin,4.308309328829226,18,
3063,Cesar Valdez,4.304335580600192,14,
3064,Joe Kelly,4.2989875086491205,34,
3257,Domingo Acevedo,4.174906536795989,28,427.6
3258,Michael Lorenzen,4.144550797578976,20,417.3
3259,Alexis Diaz,4.1220229042524466,30,156.8
3260,Kyle Zimmer,4.043749083462971,17,
3261,Richard Rodriguez,4.032910810575632,36,
3262,Camilo Doval,4.012899758037122,47,105.2
3359,Scott Effross,3.963385805842739,26,930.5
3360,Andres Machado,3.9340291166599926,16,
3553,Evan Phillips,3.8706124675820495,33,231.2
3554,Justin Bruihl,3.808482727621464,8,
3651,Kevin Ginkel,3.7264397215725387,13,584.5
3652,Mark Leiter Jr.,3.7006915908419336,9,
3653,Heath Hembree,3.6965080706345965,29,
3654,Ryan Brasier,3.6892064068189363,29,
3943,Eli Morgan,3.4853985543225527,15,717.0
3944,Josh Osich,3.472003040245063,8,
3945,Rafael Dolis,3.471147717765813,22,
3946,Evan Marshall,3.4649506565167973,16,
4043,Robert Stephenson,3.4579617345705747,18,
4044,Joe Barlow,3.4070494710832944,30,449.8
4045,Jaime Barria,3.3981136701546393,8,
4046,Michael Rucker,3.387018358751414,8,
4047,Carl Edwards Jr.,3.352570668213206,23,794.5
4144,Archie Bradley,3.3260871019971727,38,
4337,Brandon Kintzler,3.2439572688466436,19,
4434,Cionel Perez,3.2049585248429726,35,803.0
4531,Adam Morgan,3.178235762053571,10,
4724,Jacob Lemoine,3.117229626281144,0,
4725,Brandon Bielak,3.112136908585943,9,
4726,Yoan Lopez,3.1012512392417966,4,
4727,Lucas Gilbreath,3.1007926836089963,22,
4824,Ranger Suarez,3.059222479004423,9,246.0
4825,Nick Nelson,3.0585698524244913,8,
5018,Joel Payamps,2.9142149242327364,7,
5211,Ryan Borucki,2.8783905709432043,16,
5212,Shawn Armstrong,2.86984327509351,14,
5309,Andrew Wantz,2.835271296091261,10,
5406,Anthony Banda,2.7748200573998174,11,
5407,Austin Davis,2.7720277336793018,11,
5408,Huascar Brazoban,2.761751435200253,5,
5409,JT Chargois,2.743012825226861,26,
5602,Matt Foster,2.7319243647692444,20,
5603,Austin Pruitt,2.702726974263178,3,
5604,John Brebbia,2.67307896058381,25,
5605,John Schreiber,2.6633342483094227,35,404.0
5702,Sam Hentges,2.5956114406034683,13,825.5
5703,Darwinzon Hernandez,2.5615649367179683,17,
5896,Jhoan Duran,2.499697541360858,28,154.8
5897,Andre Scrubb,2.4967159659916836,7,
5898,Felix Bautista,2.473091609193235,32,91.0
5995,Tyler Alexander,2.3933490767200762,9,
5996,Travis Lakins Sr.,2.388246836641674,9,
5997,Taylor Hearn,2.3823728027064446,8,
5998,Jose Suarez,2.3605018325208955,4,351.5
5999,Oliver Drake,2.3322275858437043,3,
6000,Chris Rodriguez,2.2920371371053503,4,
6097,Sam Howard,2.2856540088612567,20,
6098,Phillips Valdez,2.2765157797310005,10,
6099,Ryan Burr,2.2667286878381314,7,
6100,Brandon Hughes,2.2473886881712515,18,375.6
6101,Josh Fleming,2.244169261722746,13,
6102,Conner Greene,2.208463420470257,2,
6103,Luke Jackson,2.2060654443614993,36,
6200,Josh Winder,2.17201395505795,0,620.0
6297,Nick Martinez,2.1432333775849135,18,381.5
6298,Adam Plutko,2.114180567965584,9,
6299,Tarik Skubal,2.0865308758903627,0,386.6
6396,Joe Smith,2.049690537573719,23,
6397,Chris Devenski,2.041014479310177,5,
6398,Manny Banuelos,2.0283921052372653,8,
6399,Dylan Coleman,2.022941547673211,21,623.0
6400,Ryne Harper,1.980555793740027,5,
6401,Drew Steckenrider,1.9740422395618433,32,
6402,Bryan Baker,1.9451097283627907,14,814.0
6403,Ralph Garza,1.9074599108655226,6,
6404,Albert Abreu,1.8909651070306819,9,
6405,Matt Moore,1.8792158847047113,26,731.0
6406,Andres Munoz,1.8754216838094313,28,170.8
6407,Hoby Milner,1.8671423353648342,14,
6408,Jose Quijada,1.8413498868372276,20,
6409,Derek Law,1.810472974534566,5,
6410,Paul Fry,1.8073167753603128,23,
6411,Steven Okert,1.6567934684192986,28,
6412,Nick Mears,1.6553473225450317,5,
6413,Jovani Moran,1.6432327886617022,3,837.0
6414,Jalen Beeks,1.6254605407397682,12,784.5
6415,Josh Sborz,1.6093083421678804,16,
6416,Jeff Hoffman,1.5989982624321535,8,
6417,Clarke Schmidt,1.589416439325989,11,518.3
6418,A.J. Cole,1.5843545759092212,8,
6419,Enyel De Los Santos,1.5741659341208167,13,
6420,Mason Thompson,1.5712633570791044,9,
6421,J.B. Wendelken,1.5583371239391892,18,
6422,Deolis Guerra,1.511786179770467,8,
6423,Ryan Yarbrough,1.4582442763840284,8,709.5
6424,Ron Marinaccio,1.4436592477119083,7,712.0
6425,Zach Jackson,1.437194049568183,31,656.5
6426,Jose Alvarez,1.431377797846696,18,
6427,Ross Stripling,1.4120019152700045,3,274.4
6428,Austin Voth,1.3977865541296455,13,608.0
6429,Casey Sadler,1.3869766935062782,21,
6430,Kirby Yates,1.3764245485729567,5,
6431,Luis Madero,1.3306313564751997,0,
6432,Tommy Nance,1.323819089183601,10,
6433,Keegan Akin,1.2981581636466044,8,760.0
6434,Dereck Rodriguez,1.2521334234938333,0,
6435,Michael Kopech,1.2204776497853944,16,273.2
6436,Jharel Cotton,1.2056601058972751,11,
6437,Reiver Sanmartin,1.178112935241231,11,
6438,Keone Kela,1.1637747090206856,3,
6439,Dillon Peters,1.1128723349269845,8,
6440,Edgar Garcia,1.0924384690080664,4,
6441,Jace Fry,1.0893689038678291,1,
6442,Nivaldo Rodriguez,1.0439362418266478,0,
6443,Jacob Webb,1.0296697120149803,6,
6444,Ryan Hendrix,0.9755893210466452,8,
6445,Zach Thompson,0.9451131691208389,2,999.5
6446,Aaron Slegers,0.9430633277391173,8,
6447,Cal Quantrill,0.9295692885974499,6,278.6
6448,Josh Lindblom,0.9030028843243577,0,
6449,Nick Ramirez,0.8395316286899958,1,
6450,Brandon Brennan,0.8327440202527475,0,
6451,Reyes Moronta,0.8304765318533721,10,776.0
6452,Tommy Kahnle,0.8057868846907655,3,696.5
6453,Nick Tropeano,0.7926557291732658,2,
6454,Erich Uelmen,0.7879084388850109,6,
6455,Josh Tomlin,0.7677223525382392,7,
6456,Carlos Hernandez,0.7628381188627024,2,906.0
6457,Gio Gonzalez,0.7229765989424447,1,
6458,Phillip Diehl,0.7189569331267861,0,
6459,Brusdar Graterol,0.70002913238858,29,454.8
6460,Shane Greene,0.691732410178152,14,
6461,Bryan Garcia,0.6685742203372264,17,
6462,Joey Krehbiel,0.6542500362251152,18,
6463,Joel Kuhnel,0.6208684753481576,9,
6464,Zach Pop,0.5871722186359621,9,
6465,Vince Velasquez,0.5642707366191476,2,578.0
6466,Robert Suarez,0.5533793514710538,17,374.2
6467,Austin Gomber,0.5529332231799363,1,
6468,Mitch White,0.5515276151677081,3,828.5
6469,Seranthony Dominguez,0.5442700289266896,30,276.0
6470,David Peterson,0.5429900458159854,3,356.0
6471,Nick Neidert,0.5224593991843848,0,
6472,Cory Abbott,0.5032569606157714,0,
6473,Franklyn Kilome,0.48608369045198624,1,
6474,Kirby Snead,0.48128916628830093,7,
6475,Brooks Kriske,0.47034392574010847,2,
6476,Justin Wilson,0.4668092516470656,17,
6477,Garrett Crochet,0.43067574978087747,15,773.5
6478,Garrett Richards,0.37930012536286534,12,
6479,T.J. Zeuch,0.36452741816158,1,
6480,Jake Cousins,0.3555252333752518,11,
6481,Will Vest,0.35246911209473425,15,
6482,Luis Oviedo,0.3032681258972418,1,
